item_id,timestamp,demand
BIKE,2018-01-01,985
BIKE,2018-01-02,801
BIKE,2018-01-03,1349
BIKE,2018-01-04,1562
BIKE,2018-01-05,1600
BIKE,2018-01-06,1606
BIKE,2018-01-07,1510
BIKE,2018-01-08,959
BIKE,2018-01-09,822
BIKE,2018-01-10,1321
BIKE,2018-01-11,1263
BIKE,2018-01-12,1162
BIKE,2018-01-13,1406
BIKE,2018-01-14,1421
BIKE,2018-01-15,1248
BIKE,2018-01-16,1204
BIKE,2018-01-17,1000
BIKE,2018-01-18,683
BIKE,2018-01-19,1650
BIKE,2018-01-20,1927
BIKE,2018-01-21,1543
BIKE,2018-01-22,981
BIKE,2018-01-23,986
BIKE,2018-01-24,1416
BIKE,2018-01-25,1985
BIKE,2018-01-26,506
BIKE,2018-01-27,431
BIKE,2018-01-28,1167
BIKE,2018-01-29,1098
BIKE,2018-01-30,1096
BIKE,2018-01-31,1501
BIKE,2018-02-01,1360
BIKE,2018-02-02,1526
BIKE,2018-02-03,1550
BIKE,2018-02-04,1708
BIKE,2018-02-05,1005
BIKE,2018-02-06,1623
BIKE,2018-02-07,1712
BIKE,2018-02-08,1530
BIKE,2018-02-09,1605
BIKE,2018-02-10,1538
BIKE,2018-02-11,1746
BIKE,2018-02-12,1472
BIKE,2018-02-13,1589
BIKE,2018-02-14,1913
BIKE,2018-02-15,1815
BIKE,2018-02-16,2115
BIKE,2018-02-17,2475
BIKE,2018-02-18,2927
BIKE,2018-02-19,1635
BIKE,2018-02-20,1812
BIKE,2018-02-21,1107
BIKE,2018-02-22,1450
BIKE,2018-02-23,1917
BIKE,2018-02-24,1807
BIKE,2018-02-25,1461
BIKE,2018-02-26,1969
BIKE,2018-02-27,2402
BIKE,2018-02-28,1446
BIKE,2018-03-01,1851
BIKE,2018-03-02,2134
BIKE,2018-03-03,1685
BIKE,2018-03-04,1944
BIKE,2018-03-05,2077
BIKE,2018-03-06,605
BIKE,2018-03-07,1872
BIKE,2018-03-08,2133
BIKE,2018-03-09,1891
BIKE,2018-03-10,623
BIKE,2018-03-11,1977
BIKE,2018-03-12,2132
BIKE,2018-03-13,2417
BIKE,2018-03-14,2046
BIKE,2018-03-15,2056
BIKE,2018-03-16,2192
BIKE,2018-03-17,2744
BIKE,2018-03-18,3239
BIKE,2018-03-19,3117
BIKE,2018-03-20,2471
BIKE,2018-03-21,2077
BIKE,2018-03-22,2703
BIKE,2018-03-23,2121
BIKE,2018-03-24,1865
BIKE,2018-03-25,2210
BIKE,2018-03-26,2496
BIKE,2018-03-27,1693
BIKE,2018-03-28,2028
BIKE,2018-03-29,2425
BIKE,2018-03-30,1536
BIKE,2018-03-31,1685
BIKE,2018-04-01,2227
BIKE,2018-04-02,2252
BIKE,2018-04-03,3249
BIKE,2018-04-04,3115
BIKE,2018-04-05,1795
BIKE,2018-04-06,2808
BIKE,2018-04-07,3141
BIKE,2018-04-08,1471
BIKE,2018-04-09,2455
BIKE,2018-04-10,2895
BIKE,2018-04-11,3348
BIKE,2018-04-12,2034
BIKE,2018-04-13,2162
BIKE,2018-04-14,3267
BIKE,2018-04-15,3126
BIKE,2018-04-16,795
BIKE,2018-04-17,3744
BIKE,2018-04-18,3429
BIKE,2018-04-19,3204
BIKE,2018-04-20,3944
BIKE,2018-04-21,4189
BIKE,2018-04-22,1683
BIKE,2018-04-23,4036
BIKE,2018-04-24,4191
BIKE,2018-04-25,4073
BIKE,2018-04-26,4400
BIKE,2018-04-27,3872
BIKE,2018-04-28,4058
BIKE,2018-04-29,4595
BIKE,2018-04-30,5312
BIKE,2018-05-01,3351
BIKE,2018-05-02,4401
BIKE,2018-05-03,4451
BIKE,2018-05-04,2633
BIKE,2018-05-05,4433
BIKE,2018-05-06,4608
BIKE,2018-05-07,4714
BIKE,2018-05-08,4333
BIKE,2018-05-09,4362
BIKE,2018-05-10,4803
BIKE,2018-05-11,4182
BIKE,2018-05-12,4864
BIKE,2018-05-13,4105
BIKE,2018-05-14,3409
BIKE,2018-05-15,4553
BIKE,2018-05-16,3958
BIKE,2018-05-17,4123
